date,complaint
01-01-2023,The attendance system is not working properly. It doesn't register my presence correctly.
02-01-2023,Payment portal is down. Unable to pay fees online.
03-01-2023,Not receiving SMS notifications for important updates.
04-01-2023,Student information update is failing. Can't update my details.
05-01-2023,Attendance records are incorrect. It shows me absent when I was present.
06-01-2023,Payment invoice is missing. Haven't received any billing information.
07-01-2023,Not getting SMS credits on time. Delay in SMS services.
08-01-2023,Need certificates urgently. Unable to find the right section for request.
09-01-2023,Attendance module is confusing. Doesn't show leave status properly.
10-01-2023,Fee payment details are not updated. My payment status is incorrect.
11-01-2023,SMS alerts are not going through. Facing issues with DLT compliance.
12-01-2023,Student record update is not reflecting. Can't see my latest grades.
